qhgzwv51,Ben,0.5,2.5,4,3.5,0.5,3.5,0.5,1.5,1.5,1,0.5,1.5,1.75
b9x3f5y8,Salvatore,1.5,1,0,3,0.5,1,4,3.5,1,2.5,1,0,1.58
6atst9tl,Georgia,1.5,4,1.5,2,2.5,0,0.5,3,0.5,4,0.5,1,1.75
aeqmtiy9,Ally,3,3,3.5,3.5,4,0,4,3,1.5,1.5,0.5,2,2.46
qqu6fywa,Odin,1,0.5,2,0.5,0,2.5,2,3,0.5,1.5,2,2.5,1.5
pd1twgu0,Amaya,3,3.5,4,2.5,3,1,4,0.5,4,2,4,3,2.88
4j8en1nz,Miguel,1,4,2,1,4,0.5,1,2.5,1,1.5,3.5,0,1.83
wfgnhn4m,Kaylyn,3,1.5,0.5,1.5,2.5,3,2.5,3.5,0,0.5,2.5,3.5,2.04
zp2f1v7a,Cassidy,2,3,0,4,1,0,0,2.5,0.5,0.5,0.5,4,1.5
j9t3wvjm,Lizbeth,1,2.5,1,2.5,1.5,2.5,1.5,3,1,1,1.5,2,1.75
66b0xk2w,Lucas,4,3.5,3,3.5,0.5,2,1,2,0.5,2.5,2,0.5,2.08
3u453czw,Brandon,4,2.5,3.5,3.5,2,2.5,0,3,2,4,0,1,2.33
lmj6kt2i,Mario,4,1,3,4,0,0,3.5,0.5,0.5,3,3,1,1.96
me8q79ug,Odin,2,0,4,3.5,2,0,0.5,0,3,1.5,3,2.5,1.83
5xfkabg6,Leilani,1,3,3,2.5,3.5,0.5,3,0.5,0,4,4,0,2.08
h8hlfor7,Jay,3,0,3.5,1.5,0,2,4,0.5,2,2.5,0,0,1.58
ijcocvui,Camryn,1,3,2,3.5,1.5,3.5,2,1,3.5,2.5,0,2.5,2.17
58hmeh33,Aylin,3.5,1,0,2.5,0.5,2.5,2.5,1.5,2.5,0,2.5,3.5,1.88
okv52daa,Anabelle,0.5,1,2.5,0.5,2.5,1,0.5,2.5,3.5,0,1,0,1.29
jdiam1wf,Summer,4,3,4,3,2,0.5,1,4,0,0.5,2,0,2
j7f63z4d,Adonis,2,2.5,3.5,0.5,1,0,2,1,3.5,0.5,1,4,1.79
urbm9oo5,Johanna,2.5,4,4,2.5,0,3,1,3.5,2,3,1.5,3.5,2.54
4zf2iv0h,Finley,3.5,0.5,0.5,3.5,1,0.5,1.5,2.5,0,1.5,1,1.5,1.46
hm35px5e,Mira,3.5,1.5,1.5,1,4,0.5,2.5,3.5,1,2.5,1.5,3,2.17
80varhci,Kolten,2,1,4,3,4,1.5,3.5,1.5,1.5,2.5,3.5,1.5,2.46
g4d8arwh,Turner,1.5,0.5,2,3.5,2,0.5,3,0,1,3.5,0,1,1.54
qrp6tfu9,Oswaldo,1.5,0.5,1,1,3,2.5,3.5,2.5,1,1,1.5,2.5,1.79
n87riyzu,Kate,2,0,3,3.5,1,0.5,3.5,3,0.5,3.5,2,1,1.96
9tew5sqm,Autumn,1.5,1.5,4,1.5,0.5,1.5,1.5,1.5,4,0.5,2.5,1,1.79
5wunfwy2,Adrian,3,2,0,0.5,3.5,1,3,0.5,1,0.5,0.5,0,1.29
e110uxqi,Marisa,1,0.5,2.5,2,3,3,4,3,1.5,2,1,3,2.21
obknsck3,Lillianna,0.5,4,3.5,0.5,0,0,3.5,3,0.5,3.5,1,1.5,1.79
lzjiqocw,Pamela,4,1,3.5,2,3,0,2,3.5,1,2,4,1.5,2.29
n7lypd10,Maribel,3.5,1,1,2.5,2.5,0.5,2,0,1.5,0,1.5,0,1.33
qzf63n4q,Ashanti,3,3.5,4,3.5,2,3,4,2,2.5,3,0.5,1,2.67
o086v90d,Mario,3.5,1.5,3.5,0,3,4,4,0.5,0.5,1.5,2.5,2.5,2.25
uxoz5xv1,Melina,1.5,1,0.5,4,2,0.5,1.5,2.5,2,3,0.5,1,1.67
8mu76kf4,Aniya,0,1,1.5,2,3,2.5,3,0,4,3.5,1.5,3.5,2.13
i00e5ag9,Quinten,3.5,3,3,2,1.5,0.5,2,0,0,1.5,4,3,2
mwb457co,Camila,1.5,1,3.5,3.5,4,1,4,3.5,1.5,0.5,2,1.5,2.29
gwttoyjp,Tripp,0,0,3.5,1.5,0,1.5,1,0.5,0,1.5,3,1.5,1.17
rqclnxce,Marely,3,0.5,2,0.5,3.5,4,3,2.5,1.5,3.5,1.5,1,2.21
kuwef2ky,Josh,2.5,1.5,3.5,0,3.5,2.5,0,3.5,0,2.5,1,0.5,1.75
i4i43ffv,London,0,3.5,2,1.5,4,3,3.5,1.5,0.5,1,1,0.5,1.83
sh63fcag,Ciara,3,3,1,2.5,2.5,0,0,0,2,4,0.5,3,1.79
ouou52wt,Danna,0,1.5,2.5,1.5,3.5,0,4,0,3.5,3,1.5,1,1.83
b9zbsvqb,Ryan,0,1,1.5,1.5,3,0.5,1.5,4,4,2,3.5,3,2.13
tcm7j38k,Antonio,0,0,0,1,2.5,1,1,3.5,3.5,1,2,2.5,1.5
grwx8dxi,Kierra,4,3.5,1,4,4,1,0,1,0.5,2.5,0,1.5,1.92
5bjs8fu2,Lucian,2,0,2,1,0.5,1.5,4,4,0.5,1,2,2,1.71
fwo8k8wn,Carsen,0,2.5,3,1.5,1.5,0,3.5,0,1.5,3.5,2.5,1,1.71
dgvg9lpb,Reed,1,3.5,0.5,0.5,1,0,1.5,3.5,1,3,3,2.5,1.75
0q4gnzx6,Dustin,2.5,0.5,3.5,0.5,3.5,4,0,1.5,4,4,3,2,2.42
zwwf4vwj,Paloma,0.5,3,1.5,1.5,0,2,2,1.5,1,1.5,2.5,3.5,1.71
crqkb2gq,Serena,2.5,1,3,1,1.5,0,3.5,0.5,1.5,1,4,3.5,1.92
7rory8bo,Tess,1,2.5,0,3,4,3.5,2,4,0,2,0.5,0.5,1.92
